service_id,date,exception_type
C11350AVVSzN-011,20221127,1
C11388ASZHK-0011,20221126,1
C12574AHCIGy-011,20221102,1
C12574AHCIGy-011,20221103,1
C12574AHCIGy-011,20221107,1
C12574AHCIGy-011,20221108,1
C12574AHCIGy-011,20221109,1
C12574AHCIGy-011,20221110,1
C12574AHCIGy-011,20221114,1
C12574AHCIGy-011,20221115,1
C12574AHCIGy-011,20221116,1
C12574AHCIGy-011,20221117,1
C12574AHCIGy-011,20221121,1
C12574AHCIGy-011,20221122,1
C12574AHCIGy-011,20221123,1
C12574AHCIGy-011,20221124,1
C12574AHCIGy-011,20221128,1
C12574AHCIGy-011,20221129,1
C12574AHCIGy-011,20221130,1
C12574AHCIGy-011,20221201,1
C12575APPIGy-011,20221104,1
C12575APPIGy-011,20221111,1
C12575APPIGy-011,20221118,1
C12575APPIGy-011,20221125,1
C12680ASZIGy-011,20221031,1
C12680ASZIGy-011,20221105,1
C12680ASZIGy-011,20221112,1
C12680ASZIGy-011,20221119,1
C12680ASZIGy-011,20221126,1
C12681AVVIGy-011,20221030,1
C12681AVVIGy-011,20221101,1
C12681AVVIGy-011,20221106,1
C12681AVVIGy-011,20221113,1
C12681AVVIGy-011,20221120,1
C12681AVVIGy-011,20221127,1
C19844AHPIGy-021,20221102,1
C19844AHPIGy-021,20221103,1
C19844AHPIGy-021,20221104,1
C19844AHPIGy-021,20221107,1
C19844AHPIGy-021,20221108,1
C19844AHPIGy-021,20221109,1
C19844AHPIGy-021,20221110,1
C19844AHPIGy-021,20221111,1
C19844AHPIGy-021,20221114,1
C19844AHPIGy-021,20221115,1
C19844AHPIGy-021,20221116,1
C19844AHPIGy-021,20221117,1
C19844AHPIGy-021,20221118,1
C19844AHPIGy-021,20221121,1
C19844AHPIGy-021,20221122,1
C19844AHPIGy-021,20221123,1
C19844AHPIGy-021,20221124,1
C19844AHPIGy-021,20221125,1
C19844AHPIGy-021,20221128,1
C19844AHPIGy-021,20221129,1
C19844AHPIGy-021,20221130,1
C19844AHPIGy-021,20221201,1
C19845ASZIGy-021,20221031,1
C19845ASZIGy-021,20221105,1
C19845ASZIGy-021,20221112,1
C19845ASZIGy-021,20221119,1
C19845ASZIGy-021,20221126,1
C19846AVVIGy-021,20221030,1
C19846AVVIGy-021,20221101,1
C19846AVVIGy-021,20221106,1
C19846AVVIGy-021,20221113,1
C19846AVVIGy-021,20221120,1
C19846AVVIGy-021,20221127,1
C22092AHCPÁ-0041,20221102,1
C22092AHCPÁ-0041,20221103,1
C22092AHCPÁ-0041,20221107,1
C22092AHCPÁ-0041,20221108,1
C22092AHCPÁ-0041,20221109,1
C22092AHCPÁ-0041,20221110,1
C22092AHCPÁ-0041,20221114,1
C22092AHCPÁ-0041,20221115,1
C22092AHCPÁ-0041,20221116,1
C22092AHCPÁ-0041,20221117,1
C22092AHCPÁ-0041,20221121,1
C22092AHCPÁ-0041,20221122,1
C22092AHCPÁ-0041,20221123,1
C22092AHCPÁ-0041,20221124,1
C22092AHCPÁ-0041,20221128,1
C22092AHCPÁ-0041,20221129,1
C22092AHCPÁ-0041,20221130,1
C22092AHCPÁ-0041,20221201,1
C22093APPPÁ-0041,20221104,1
C22093APPPÁ-0041,20221111,1
C22093APPPÁ-0041,20221118,1
C22093APPPÁ-0041,20221125,1
C22094ASZPÁ-0041,20221031,1
C22094ASZPÁ-0041,20221105,1
