pathway_id,pathway_mode,is_bidirectional,from_stop_id,to_stop_id,traversal_time
LM2PF2-F01324-WC,5,1,LM2PF2,F01324,60
LM3NT1-LM3NTF,2,0,LM3NT1,LM3NTF,30
LM3NT1-LM3NTE,2,0,LM3NT1,LM3NTE,30
LM4UK1-056220-WC,5,1,LM4UK1,056220,90
LM4KV2-LM4KVB,2,1,LM4KV2,LM4KVB,60
LM4KV2-LM4KVC,2,1,LM4KV2,LM4KVC,60
LM4KV2-LM4KVD,2,1,LM4KV2,LM4KVD,30
LM4KV2-LM4KVE,2,1,LM4KV2,LM4KVE,60
LM2KP1-LMXKPK-WC,5,1,LM2KP1,LMXKPK,90
LM3KV2-LM3KVG,2,1,LM3KV2,LM3KVG,60
LM3KV2-LM3KVF,2,1,LM3KV2,LM3KVF,60
LM4KV2-LM4KVA,2,1,LM4KV2,LM4KVA,90
LM1BZM-F00997,2,1,LM1BZM,F00997,30
LM3KV1-F01289,2,1,LM3KV1,F01289,120
LM2BT1-LM2BTD,2,1,LM2BT1,LM2BTD,30
LM2BT1-LM2BTC,2,1,LM2BT1,LM2BTC,60
LM2BT1-LM2BTB,2,1,LM2BT1,LM2BTB,60
LM2BT1-LM2BTA,2,1,LM2BT1,LM2BTA,30
L008162-F02684-WC,5,1,L008162,F02684,60
056233-F01335,2,1,056233,F01335,150
056233-F01336,2,1,056233,F01336,150
L008159-F02683-WC,5,1,L008159,F02683,60
LM4FT1-056225,2,1,LM4FT1,056225,60
LM1BUV-F01100,2,1,LM1BUV,F01100,30
LM4FT1-056226,2,1,LM4FT1,056226,60
LM4KV2-056227,1,1,LM4KV2,056227,90
L056214-056231,2,1,L056214,056231,30
LM2PF1-F01324,2,1,LM2PF1,F01324,30
LM2PF1-F01325,2,1,LM2PF1,F01325,30
F01544-LM3KK1,2,0,F01544,LM3KK1,60
LM3KV1-F01290,2,1,LM3KV1,F01290,120
F01544-LM3KK2,2,0,F01544,LM3KK2,60
L056214-056232,2,1,L056214,056232,30
F01544-LM3KK3,2,0,F01544,LM3KK3,60
LM4KP3-LMXKPF,2,1,LM4KP3,LMXKPF,150
LM4KP3-LMXKPE,2,1,LM4KP3,LMXKPE,90
LM4KP3-LMXKPD,2,1,LM4KP3,LMXKPD,90
LM4KP3-LMXKPC,2,1,LM4KP3,LMXKPC,90
LM4KP3-LMXKPJ,2,1,LM4KP3,LMXKPJ,30
LM4KP3-LMXKPI,2,1,LM4KP3,LMXKPI,60
LM4KP3-LMXKPH,2,1,LM4KP3,LMXKPH,210
LM4KP3-LMXKPG,2,1,LM4KP3,LMXKPG,210
LM2KP1-F01336,2,1,LM2KP1,F01336,120
LM4KP3-LMXKPB,2,1,LM4KP3,LMXKPB,90
LM4KP3-LMXKPA,2,1,LM4KP3,LMXKPA,60
L008186-F00913,2,0,L008186,F00913,30
LM4UK1-056219-WC,5,1,LM4UK1,056219,90
