StopName_A,StopName_B,Location_A,Location_B,StopID_A,StopID_B,Route_A,Route_B,RouteColor_A,RouteColor_B
Hubay Jenő tér,Hubay Jenő tér,"(47.562905, 19.117925)","(47.563496, 19.115618)",F03048,F03050,104,296A,009EE3,009EE3
Hubay Jenő tér,Hubay Jenő tér,"(47.562905, 19.117925)","(47.563496, 19.115618)",F03048,F03050,104,225,009EE3,009EE3
Örs vezér tere,Örs vezér tere,"(47.502506, 19.136269)","(47.504098, 19.136457)",F01752,F01757,67,69,009EE3,FFD800
Örs vezér tere,Örs vezér tere,"(47.502506, 19.136269)","(47.504287, 19.136192)",F01752,F01756,67,908,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.502506, 19.136269)","(47.504287, 19.136192)",F01752,F01756,67,956,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.502506, 19.136269)","(47.504008, 19.136656)",F01752,F02764,67,80,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.502506, 19.136269)","(47.505123, 19.136353)",F01752,F02758,67,82,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.502506, 19.136269)","(47.505123, 19.136353)",F01752,F02758,67,82A,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.502506, 19.136269)","(47.504287, 19.136192)",F01752,F01756,67,990,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.502506, 19.136269)","(47.504008, 19.136656)",F01752,F02764,67,81,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.502506, 19.136269)","(47.504287, 19.136192)",F01752,F01756,67,907,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.502506, 19.136269)","(47.504287, 19.136192)",F01752,F01756,67,931,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.502506, 19.136269)","(47.503585, 19.137192)",F01752,F01792,67,H8,009EE3,ED6E86
Örs vezér tere,Örs vezér tere,"(47.502506, 19.136269)","(47.503585, 19.137192)",F01752,F01792,67,H9,009EE3,ED6E86
Rákosfalva,Rákosfalva,"(47.504985, 19.151458)","(47.505183, 19.152115)",F01790,F01820,67,H8,009EE3,ED6E86
Rákosfalva,Rákosfalva,"(47.504985, 19.151458)","(47.505183, 19.152115)",F01790,F01820,67,H9,009EE3,ED6E86
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.502922, 19.135963)",008029,F01749,67,M2,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.502448, 19.136843)",008029,008382,67,69,009EE3,FFD800
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.504098, 19.136457)",008029,F01757,67,69,009EE3,FFD800
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.504287, 19.136192)",008029,F01756,67,908,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.503216, 19.137571)",008029,008942,67,908,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.504287, 19.136192)",008029,F01756,67,956,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.502506, 19.136269)",008029,F01752,67,956,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.504008, 19.136656)",008029,F02764,67,80,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.505123, 19.136353)",008029,F02758,67,82,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.505315, 19.136268)",008029,102825,67,82,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.505123, 19.136353)",008029,F02758,67,82A,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.505315, 19.136268)",008029,102825,67,82A,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.504287, 19.136192)",008029,F01756,67,990,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.502506, 19.136269)",008029,F01752,67,990,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.504008, 19.136656)",008029,F02764,67,81,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.505315, 19.136268)",008029,102825,67,80,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.503684, 19.136443)",008029,008222,67,69,009EE3,FFD800
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.502623, 19.136654)",008029,008383,67,69,009EE3,FFD800
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.502506, 19.136269)",008029,F01752,67,907,009EE3,000000
